entry	name	namespace	is_thunk	calling_convention	parameter_count	return_type
004106be	FUN_004106be	Global	false	__thiscall	4	bool
00410780	FUN_00410780	Global	false	__thiscall	4	undefined4
00410a47	FUN_00410a47	Global	false	__stdcall	3	undefined4
004110a2	FUN_004110a2	Global	false	__stdcall	3	undefined4
004116b2	FUN_004116b2	Global	false	__stdcall	3	undefined4
00411871	FUN_00411871	Global	false	__stdcall	2	int
00411caa	FUN_00411caa	Global	false	__stdcall	3	int
00411dfc	FUN_00411dfc	Global	false	__stdcall	3	undefined4
00411f69	FUN_00411f69	Global	false	__stdcall	2	undefined
00412219	FUN_00412219	Global	false	__stdcall	3	undefined4
00412923	FUN_00412923	Global	false	__stdcall	0	undefined4
0041338b	FUN_0041338b	Global	false	__thiscall	2	void *
004133f5	FUN_004133f5	Global	false	__thiscall	6	undefined4
00413c2e	FUN_00413c2e	Global	false	__thiscall	4	undefined
00413e13	FUN_00413e13	Global	false	__thiscall	4	undefined
00413fc6	FUN_00413fc6	Global	false	__thiscall	2	undefined4
00414024	FUN_00414024	Global	false	__thiscall	3	int
00414543	FUN_00414543	Global	false	__thiscall	2	undefined4
00414592	FUN_00414592	Global	false	__thiscall	3	int
00414ab1	FUN_00414ab1	Global	false	__thiscall	3	undefined4
00414f40	FUN_00414f40	Global	false	__thiscall	2	int
0041509f	FUN_0041509f	Global	false	__thiscall	2	undefined4
004151da	FUN_004151da	Global	false	__thiscall	2	undefined4
00415364	FUN_00415364	Global	false	__fastcall	1	undefined4
00415663	FUN_00415663	Global	false	__fastcall	1	undefined4
00415864	FUN_00415864	Global	false	__stdcall	2	undefined
004158aa	FUN_004158aa	Global	false	__fastcall	1	undefined4
00415979	FUN_00415979	Global	false	__stdcall	2	char *
004159f6	FUN_004159f6	Global	false	__fastcall	1	undefined4
00415a02	FUN_00415a02	Global	false	__thiscall	2	undefined
00415d83	FUN_00415d83	Global	false	__fastcall	1	int
00415d99	FUN_00415d99	Global	false	__fastcall	1	undefined
00415dbd	FUN_00415dbd	Global	false	__thiscall	3	undefined
00415dd9	FUN_00415dd9	Global	false	__thiscall	4	undefined4
004160ec	FUN_004160ec	Global	false	__fastcall	1	undefined4
00416134	FUN_00416134	Global	false	__fastcall	1	undefined4
004161ea	FUN_004161ea	Global	false	__thiscall	2	undefined4
00416425	FUN_00416425	Global	false	__stdcall	3	undefined4
004164b1	FUN_004164b1	Global	false	__thiscall	4	undefined4
0041681b	FUN_0041681b	Global	false	__thiscall	2	undefined4
00416a26	FUN_00416a26	Global	false	__thiscall	6	int
00416ff2	FUN_00416ff2	Global	false	__stdcall	4	undefined4
004170c1	FUN_004170c1	Global	false	__thiscall	5	undefined4
004175ae	FUN_004175ae	Global	false	__thiscall	3	bool
004175df	FUN_004175df	Global	false	__fastcall	1	int
0041770d	FUN_0041770d	Global	false	__fastcall	1	undefined
00417769	FUN_00417769	Global	false	__thiscall	3	int
00417a75	FUN_00417a75	Global	false	__fastcall	1	int
00417acd	FUN_00417acd	Global	false	__thiscall	4	undefined4
00417c56	FUN_00417c56	Global	false	__fastcall	1	undefined
00417cde	FUN_00417cde	Global	false	__fastcall	1	undefined
00417d61	FUN_00417d61	Global	false	__thiscall	2	undefined4
00418362	FUN_00418362	Global	false	__thiscall	5	undefined4
004194bc	FUN_004194bc	Global	false	__thiscall	2	undefined4
004195f3	FUN_004195f3	Global	false	__thiscall	2	undefined4
004198c3	FUN_004198c3	Global	false	__thiscall	3	undefined4
00419da2	FUN_00419da2	Global	false	__thiscall	2	undefined4
0041a18a	FUN_0041a18a	Global	false	__stdcall	2	undefined
0041a230	FUN_0041a230	Global	false	__thiscall	2	undefined
0041a255	FUN_0041a255	Global	false	__thiscall	2	undefined
0041a2d5	FUN_0041a2d5	Global	false	__fastcall	1	undefined
0041a2e8	FUN_0041a2e8	Global	false	__fastcall	1	undefined
